[1] "not converged = 12"
[1] "total params = 3975"
[1] "which not converged: "
[1] "missing data: 0.382506527415144"
               Rhat
use[8,72]  1.102302
use[1,86]  1.102509
use[4,40]  1.104379
use[15,9]  1.110314
use[7,4]   1.128338
use[7,77]  1.169161
use[2,28]  1.310167
use[5,18]  1.324380
use[7,70]  1.349500
use[5,38]  1.661073
use[7,42]  1.964409
use[16,90] 2.378100
Inference for Bugs model at "~/bipartitemodelsBC/finalmodels/jagsNB/beta/m1o.txt", fit using jags,
 3 chains, each with 3000 iterations (first 100 discarded)
 n.sims = 8700 iterations saved
              mu.vect sd.vect      2.5%       25%       50%       75%     97.5%
beta_j         -1.071   0.080    -1.223    -1.125    -1.071    -1.019    -0.910
mn[1]          -1.851   0.063    -1.917    -1.883    -1.871    -1.848    -1.662
mn[2]           3.390   0.262     2.877     3.211     3.391     3.569     3.900
mu[7,18]        0.136   0.011     0.122     0.130     0.134     0.139     0.168
mu[8,18]        0.136   0.012     0.122     0.130     0.134     0.139     0.170
mu[9,18]        0.136   0.012     0.122     0.130     0.134     0.139     0.167
mu[10,18]       0.136   0.011     0.121     0.130     0.133     0.138     0.165
mu[11,18]       0.137   0.012     0.122     0.130     0.134     0.139     0.170
mu[12,18]       0.136   0.012     0.121     0.130     0.134     0.139     0.168
mu[13,18]       0.136   0.011     0.121     0.130     0.133     0.138     0.165
mu[14,18]       0.136   0.011     0.121     0.130     0.133     0.139     0.165
mu[15,18]       0.136   0.011     0.122     0.130     0.134     0.139     0.168
mu[16,18]       0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[1,19]        0.136   0.011     0.122     0.130     0.134     0.139     0.168
mu[2,19]        0.136   0.011     0.121     0.130     0.133     0.138     0.168
mu[3,19]        0.136   0.011     0.121     0.130     0.134     0.139     0.166
mu[4,19]        0.136   0.011     0.122     0.130     0.133     0.139     0.165
mu[5,19]        0.136   0.011     0.122     0.130     0.134     0.138     0.167
mu[6,19]        0.137   0.012     0.122     0.130     0.134     0.139     0.168
mu[7,19]        0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[8,19]        0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[9,19]        0.136   0.012     0.122     0.130     0.134     0.139     0.169
mu[10,19]       0.137   0.012     0.122     0.130     0.134     0.139     0.171
mu[11,19]       0.136   0.012     0.121     0.130     0.134     0.139     0.167
mu[12,19]       0.136   0.012     0.122     0.130     0.134     0.139     0.170
mu[13,19]       0.136   0.012     0.121     0.130     0.133     0.138     0.166
mu[14,19]       0.136   0.011     0.122     0.130     0.133     0.139     0.167
mu[15,19]       0.136   0.011     0.122     0.130     0.134     0.139     0.168
mu[16,19]       0.136   0.011     0.122     0.130     0.133     0.138     0.168
mu[1,20]        0.136   0.011     0.122     0.130     0.134     0.139     0.168
mu[2,20]        0.136   0.011     0.122     0.130     0.134     0.138     0.167
mu[3,20]        0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[4,20]        0.136   0.011     0.121     0.130     0.133     0.138     0.167
mu[5,20]        0.136   0.012     0.121     0.130     0.134     0.139     0.168
mu[6,20]        0.137   0.012     0.122     0.130     0.134     0.139     0.170
mu[7,20]        0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[8,20]        0.136   0.012     0.121     0.130     0.134     0.139     0.168
mu[9,20]        0.136   0.011     0.121     0.130     0.134     0.139     0.167
mu[10,20]       0.136   0.011     0.122     0.130     0.134     0.138     0.166
mu[11,20]       0.136   0.011     0.122     0.130     0.133     0.139     0.166
mu[12,20]       0.136   0.012     0.122     0.130     0.134     0.139     0.167
mu[13,20]       0.136   0.011     0.122     0.130     0.134     0.139     0.165
mu[14,20]       0.136   0.011     0.122     0.130     0.133     0.138     0.166
mu[15,20]       0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[16,20]       0.136   0.011     0.122     0.130     0.133     0.138     0.166
mu[1,21]        0.136   0.012     0.122     0.130     0.134     0.139     0.169
mu[2,21]        0.136   0.012     0.121     0.130     0.133     0.139     0.167
mu[3,21]        0.136   0.011     0.122     0.130     0.134     0.138     0.165
mu[4,21]        0.136   0.011     0.121     0.130     0.133     0.138     0.167
mu[5,21]        0.136   0.012     0.121     0.130     0.134     0.139     0.167
mu[6,21]        0.137   0.012     0.122     0.130     0.134     0.139     0.172
mu[7,21]        0.136   0.011     0.121     0.130     0.134     0.139     0.167
